0,1,2
0.0,,
0.125,,
0.25,,
0.375,,
0.5,-0.4970335446739402,0.9770323397674308
0.625,,
0.75,,
0.875,,
1.0,1.815541594446888,1.4033705310898237
1.125,,
1.25,,
1.375,,
1.5,2.292273172112704,0.6043334406270802
1.625,,
1.75,,
1.875,,
2.0,2.0614479931611966,0.3768109597423314
2.125,,
2.25,,
2.375,,
2.5,1.5865625591820338,-0.11163735257081
2.625,,
2.75,,
2.875,,
3.0,1.461353118440755,-0.2169981751800165
3.125,,
3.25,,
3.375,,
3.5,1.5682662258409754,-0.7809322078111793
3.625,,
3.75,,
3.875,,
4.0,1.5938948436369835,-0.6084104214895494
4.125,,
4.25,,
4.375,,
4.5,1.1573762720364706,-0.8398283480814788
4.625,,
4.75,,
4.875,,
5.0,1.2372741364819873,-0.9282373125685636
5.125,,
5.25,,
5.375,,
5.5,0.3471974405935119,-0.7982153675471486
5.625,,
5.75,,
5.875,,
6.0,-1.2992889006937245,-0.6683729167159466
6.125,,
6.25,,
6.375,,
6.5,-1.929631634879096,-0.4550060856090477
6.625,,
6.75,,
6.875,,
7.0,-1.586100754750938,-0.12243826140202851
7.125,,
7.25,,
7.375,,
7.5,-1.8562329435905385,-0.038321242346025686
7.625,,
7.75,,
7.875,,
8.0,-1.4904706357083273,0.306860352459513
8.125,,
8.25,,
8.375,,
8.5,-1.1348165710717226,0.8012090715346134
8.625,,
8.75,,
8.875,,
9.0,-1.0303021177650542,0.8097503526590887
9.125,,
9.25,,
9.375,,
9.5,-0.3041851832820407,1.1732582943082237
9.625,,
9.75,,
9.875,,
10.0,1.86860115125415,0.7107082498888375
10.125,,
10.25,,
10.375,,
10.5,2.386461842797524,0.49949929775091056
10.625,,
10.75,,
10.875,,
11.0,1.666385229289607,0.6305405057947133
11.125,,
11.25,,
11.375,,
11.5,2.031846413126489,0.2270553393667863
11.625,,
11.75,,
11.875,,
12.0,1.5301629390589764,0.0019655484336961455
12.125,,
12.25,,
12.375,,
12.5,1.5070037809565895,-0.7127670612509555
12.625,,
12.75,,
12.875,,
13.0,1.2378412131042975,-0.8775779859622793
13.125,,
13.25,,
13.375,,
13.5,1.358809892137466,-0.5468085035631755
13.625,,
13.75,,
13.875,,
14.0,0.6929533175177048,-0.9264779261134961
14.125,,
14.25,,
14.375,,
14.5,0.4148159305684504,-1.1747990971014732
14.625,,
14.75,,
14.875,,
15.0,-1.218861121352396,-1.0105136769999878
15.125,,
15.25,,
15.375,,
15.5,-2.221225198094598,-0.6176874461259614
15.625,,
15.75,,
15.875,,
16.0,-1.8931173694218932,-0.2639032425909337
16.125,,
16.25,,
16.375,,
16.5,-1.426291883720728,0.2301022223254525
16.625,,
16.75,,
16.875,,
17.0,-1.7771262808801416,0.5829003941679943
17.125,,
17.25,,
17.375,,
17.5,-1.5578903970780609,1.0634915397734204
17.625,,
17.75,,
17.875,,
18.0,-1.1862248765682635,0.8600089398008633
18.125,,
18.25,,
18.375,,
18.5,-0.18717014188004216,0.9013809788051781
18.625,,
18.75,,
18.875,,
19.0,1.5745404319903749,0.9848161599167293
19.125,,
19.25,,
19.375,,
19.5,1.6892825822828668,0.8195009764115888
19.625,,
19.75,,
19.875,,
20.0,1.6384252419546224,0.053403915063144014
