0.000000000000000000e+00,-1.018478035468013188e+00,1.146857114363641461e+00
5.000000000000000000e-01,-4.970335446739401752e-01,9.770323397674307575e-01
1.000000000000000000e+00,1.815541594446888229e+00,1.403370531089823681e+00
1.500000000000000000e+00,2.292273172112703872e+00,6.043334406270801651e-01
2.000000000000000000e+00,2.061447993161196646e+00,3.768109597423314749e-01
2.500000000000000000e+00,1.586562559182033816e+00,-1.116373525708099917e-01
3.000000000000000000e+00,1.461353118440755328e+00,-2.169981751800165171e-01
3.500000000000000000e+00,1.568266225840975414e+00,-7.809322078111793353e-01
4.000000000000000000e+00,1.593894843636983527e+00,-6.084104214895493801e-01
4.500000000000000000e+00,1.157376272036470644e+00,-8.398283480814788815e-01
5.000000000000000000e+00,1.237274136481987252e+00,-9.282373125685636772e-01
5.500000000000000000e+00,3.471974405935118746e-01,-7.982153675471487242e-01
6.000000000000000000e+00,-1.299288900693724491e+00,-6.683729167159465634e-01
6.500000000000000000e+00,-1.929631634879096058e+00,-4.550060856090477057e-01
7.000000000000000000e+00,-1.586100754750938036e+00,-1.224382614020285281e-01
7.500000000000000000e+00,-1.856232943590538476e+00,-3.832124234602568569e-02
8.000000000000000000e+00,-1.490470635708327274e+00,3.068603524595129861e-01
8.500000000000000000e+00,-1.134816571071722624e+00,8.012090715346135150e-01
9.000000000000000000e+00,-1.030302117765054204e+00,8.097503526590886791e-01
9.500000000000000000e+00,-3.041851832820406942e-01,1.173258294308223704e+00
1.000000000000000000e+01,1.868601151254150050e+00,7.107082498888375177e-01
1.050000000000000000e+01,2.386461842797523936e+00,4.994992977509106202e-01
1.100000000000000000e+01,1.666385229289607084e+00,6.305405057947133241e-01
1.150000000000000000e+01,2.031846413126488837e+00,2.270553393667862907e-01
1.200000000000000000e+01,1.530162939058976379e+00,1.965548433696145958e-03
1.250000000000000000e+01,1.507003780956589711e+00,-7.127670612509554582e-01
1.300000000000000000e+01,1.237841213104297733e+00,-8.775779859622793166e-01
1.350000000000000000e+01,1.358809892137466058e+00,-5.468085035631754520e-01
1.400000000000000000e+01,6.929533175177048365e-01,-9.264779261134959976e-01
1.450000000000000000e+01,4.148159305684503417e-01,-1.174799097101473233e+00
1.500000000000000000e+01,-1.218861121352396104e+00,-1.010513676999987842e+00
1.550000000000000000e+01,-2.221225198094598063e+00,-6.176874461259613813e-01
1.600000000000000000e+01,-1.893117369421893459e+00,-2.639032425909337287e-01
1.650000000000000000e+01,-1.426291883720728126e+00,2.301022223254524934e-01
1.700000000000000000e+01,-1.777126280880141795e+00,5.829003941679943290e-01
1.750000000000000000e+01,-1.557890397078060873e+00,1.063491539773420369e+00
1.800000000000000000e+01,-1.186224876568263475e+00,8.600089398008634589e-01
1.850000000000000000e+01,-1.871701418800421624e-01,9.013809788051780902e-01
1.900000000000000000e+01,1.574540431990374856e+00,9.848161599167293279e-01
1.950000000000000000e+01,1.689282582282866985e+00,8.195009764115888107e-01
2.000000000000000000e+01,1.638425241954622580e+00,5.340391506314401404e-02
