
===== hiv K=400 h=1000*h0 (2.043e+09) maxit=20000 floor=0.1078 =====
   floors: energy 0.1078  stiffvar 0.998  KS 0.0469
-- start "correct": energy 0.1111 (1.0x) whsd 1.009 Stein R 1.0000
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
   11000    0.1618     1.50    0.7690    0.99   0.883   0.7911   0.0218    38.2
   12000    0.1783     1.65    0.7652    1.00   0.880   0.7879   0.1216    41.7
   13000    0.1685     1.56    0.7614    1.01   0.879   0.7851   0.0219    45.2
   14000    0.1715     1.59    0.7577    1.01   0.878   0.7826   0.0210    48.6
   15000    0.1745     1.62    0.7540    1.02   0.876   0.7804   0.0257    52.1
   16000    0.1764     1.64    0.7504    1.02   0.875   0.7783   0.0235    55.6
   17000    0.1787     1.66    0.7468    1.03   0.873   0.7763   0.0250    59.1
   18000    0.1811     1.68    0.7432    1.03   0.872   0.7744   0.0323    62.5
   19000    0.1832     1.70    0.7397    1.04   0.870   0.7726   0.0259    66.0
   20000    0.1853     1.72    0.7362    1.04   0.869   0.7708   0.0260    69.5
