
===== lorenz K=400 h=1000*h0 (1.38e+05) maxit=20000 floor=0.0783 =====
   floors: energy 0.0783  stiffvar 1.014  KS 0.0483
-- start "correct": energy 0.0974 (1.2x) whsd 1.004 Stein R 1.0194
    iter    energy  x floor  stiffvar  KS/flr    whsd   SteinR    thErr     sec
   11000    0.0927     1.18    0.7840    1.07   0.912   0.8351   0.1089     4.5
   12000    0.0947     1.21    0.7738    1.08   0.908   0.8289   0.1142     5.0
   13000    0.0980     1.25    0.7642    1.09   0.905   0.8232   0.1189     5.4
   14000    0.1015     1.30    0.7553    1.10   0.903   0.8180   0.1232     5.8
   15000    0.1052     1.34    0.7469    1.11   0.901   0.8133   0.1271     6.2
   16000    0.1081     1.38    0.7390    1.11   0.898   0.8086   0.1320     6.6
   17000    0.1109     1.42    0.7316    1.12   0.895   0.8044   0.1361     7.0
   18000    0.1128     1.44    0.7245    1.13   0.894   0.8006   0.1400     7.4
   19000    0.1155     1.48    0.7178    1.14   0.892   0.7971   0.1437     7.8
   20000    0.1179     1.51    0.7115    1.15   0.890   0.7937   0.1473     8.3
